cvemun,pollutant,tot_pop_mun,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,paf_mean,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper
03001,PM25,75076.000037538,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0531,394,20.92699817693433,16.267598730754468,24.540651548928928
03002,PM25,67360.000006736,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0584,304,17.743309072486078,14.342723910841766,20.120268339321235
03002,PM25,67360.000006736,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0584,304,17.743309072486078,14.342723910841766,20.120268339321235
03003,PM25,316751.999841624,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0476,1613,76.71118922045065,57.383074824337385,92.9790414076162
03003,PM25,316751.999841624,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0476,1613,76.71118922045065,57.383074824337385,92.9790414076162
03008,PM25,409232.0001227696,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0476,1138,54.12109940041714,40.484773186668285,65.59835655416443
03008,PM25,409232.0001227696,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0476,1138,54.12109940041714,40.484773186668285,65.59835655416443
03009,PM25,17630.000003526002,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0491,115,5.644472254846917,4.2615413700518845,6.771425942924783
03009,PM25,17630.000003526002,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0491,115,5.644472254846917,4.2615413700518845,6.771425942924783
04001,PM25,43816.0000087632,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0746,285,21.259555230000185,19.713116464008944,22.667516527214442
04001,PM25,43816.0000087632,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0752,285,21.422279318730997,19.868047871515834,22.85786935491176
04002,PM25,302186.0001208744,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0826,1737,143.43276991594115,134.1015407430381,154.90697760222744
04002,PM25,302186.0001208744,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0832,1737,144.5760259750365,135.18647801356377,156.08308088222242
04003,PM25,257323.9999742676,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.094,1230,115.5872353237818,108.45575850055592,124.60422859568972
