cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
03,Baja California Sur,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,705,0.67,0.4,1.05,0.001
03,Baja California Sur,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,77,16.25,8.73,20.7,0.211
03,Baja California Sur,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,77,8.73,4.53,13.86,0.1134
03,Baja California Sur,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,338,60.9,26.18,90.93,0.1802
03,Baja California Sur,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,77,16.25,8.73,20.7,0.211
03,Baja California Sur,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,77,8.73,4.53,13.87,0.1134
03,Baja California Sur,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,338,60.91,26.19,90.94,0.1802
03,Baja California Sur,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,3564,138.48,95.25,181.29,0.0389
03,Baja California Sur,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1147,58.23,47.53,68.58,0.0508
03,Baja California Sur,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,3564,137.71,94.72,180.29,0.0386
03,Baja California Sur,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1147,57.9,47.27,68.21,0.0505
04,Campeche,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,4960,13.76,8.34,19.07,0.0028
04,Campeche,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,111,0.25,0.13,0.37,0.0023
04,Campeche,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1733,4.87,2.95,7.67,0.0028
04,Campeche,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,1252,3.53,2.14,5.56,0.0028
04,Campeche,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,4960,13.66,8.28,18.94,0.0028
04,Campeche,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,111,0.25,0.13,0.37,0.0023
04,Campeche,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1733,4.84,2.93,7.62,0.0028
04,Campeche,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,1252,3.51,2.13,5.53,0.0028
04,Campeche,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,111,20.86,11.13,26.68,0.1879
04,Campeche,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,112,11.23,5.8,17.92,0.1003
04,Campeche,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,439,71.39,30.52,107.17,0.1626
04,Campeche,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,111,20.92,11.16,26.76,0.1885
04,Campeche,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,112,11.26,5.82,17.98,0.1005
04,Campeche,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,439,71.65,30.64,107.54,0.1632
04,Campeche,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,4960,414.38,287.19,538.41,0.0835
04,Campeche,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1733,189.7,155.78,222.16,0.1095
04,Campeche,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,4960,415.95,288.3,540.43,0.0839
04,Campeche,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1733,190.42,156.38,222.99,0.1099
05,Coahuila,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,16762,71.18,43.16,98.63,0.0042
05,Coahuila,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,303,1.06,0.53,1.57,0.0035
05,Coahuila,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5730,23.65,14.34,37.26,0.0041
05,Coahuila,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3769,15.36,9.32,24.21,0.0041
05,Coahuila,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,16762,71.69,43.47,99.33,0.0043
05,Coahuila,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,303,1.06,0.53,1.57,0.0035
05,Coahuila,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5730,23.98,14.54,37.77,0.0042
05,Coahuila,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3769,15.63,9.48,24.63,0.0041
05,Coahuila,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,303,77.83,42.36,98.28,0.2569
05,Coahuila,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,304,42.5,22.21,66.91,0.1398
05,Coahuila,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1461,320.86,139.89,472.94,0.2196
05,Coahuila,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,303,78.23,42.6,98.77,0.2582
05,Coahuila,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,304,42.74,22.34,67.27,0.1406
05,Coahuila,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1461,322.72,140.76,475.49,0.2209
05,Coahuila,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,16762,939.61,648.25,1226.43,0.0561
05,Coahuila,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,5730,421.32,344.75,495.13,0.0735
05,Coahuila,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,16762,940.09,648.58,1227.05,0.0561
05,Coahuila,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,5730,421.48,344.88,495.33,0.0736
06,Colima,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,4384,25.67,15.57,35.55,0.0059
06,Colima,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,102,0.47,0.24,0.7,0.0046
06,Colima,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1182,6.76,4.1,10.65,0.0057
06,Colima,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,674,3.75,2.28,5.91,0.0056
06,Colima,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,4384,25.38,15.39,35.15,0.0058
06,Colima,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,102,0.47,0.24,0.69,0.0046
06,Colima,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1182,6.68,4.05,10.52,0.0057
06,Colima,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,674,3.71,2.25,5.84,0.0055
06,Colima,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,102,22.37,12.04,28.44,0.2193
06,Colima,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,102,12.04,6.25,19.09,0.118
06,Colima,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,449,84.7,36.53,126.1,0.1886
06,Colima,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,102,22.4,12.05,28.48,0.2196
06,Colima,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,102,12.05,6.26,19.12,0.1181
06,Colima,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,449,84.81,36.58,126.26,0.1889
06,Colima,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,4384,340.71,235.91,443.13,0.0777
