cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
22,Querétaro,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,11229,472.59,289.18,649.01,0.0421
22,Querétaro,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,279,8.4,4.28,12.37,0.0301
22,Querétaro,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,3397,140.01,85.66,217.7,0.0412
22,Querétaro,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,1982,80.67,49.35,125.44,0.0407
22,Querétaro,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,279,126.98,73.97,153.88,0.4551
22,Querétaro,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,279,88.13,19.83,138.16,0.3159
22,Querétaro,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1223,487.4,228.03,674.51,0.3985
22,Querétaro,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,279,127.89,74.59,154.87,0.4584
22,Querétaro,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,279,88.84,20.02,139.11,0.3184
22,Querétaro,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1223,491.02,230.01,678.75,0.4015
22,Querétaro,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,11229,1249.5,870.18,1615.79,0.1113
22,Querétaro,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,3397,490.95,404.67,572.89,0.1445
22,Querétaro,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,11229,1251.26,871.42,1618.02,0.1114
22,Querétaro,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,3397,491.63,405.24,573.67,0.1447
23,Quintana Roo,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,7244,39.07,23.7,54.11,0.0054
23,Quintana Roo,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,165,0.66,0.33,0.98,0.004
23,Quintana Roo,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1826,9.85,5.98,15.51,0.0054
23,Quintana Roo,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,945,4.78,2.9,7.53,0.0051
23,Quintana Roo,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,7244,38.73,23.5,53.64,0.0053
23,Quintana Roo,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,165,0.65,0.33,0.97,0.0039
23,Quintana Roo,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1826,9.77,5.93,15.38,0.0054
23,Quintana Roo,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,945,4.74,2.88,7.47,0.005
23,Quintana Roo,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,165,54.66,30.49,67.99,0.3313
23,Quintana Roo,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,165,36.72,7.88,60.1,0.2225
23,Quintana Roo,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,632,182.21,81.56,262.23,0.2883
23,Quintana Roo,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,165,54.65,30.48,67.97,0.3312
23,Quintana Roo,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,165,36.71,7.88,60.08,0.2225
23,Quintana Roo,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,632,182.15,81.53,262.15,0.2882
